symbol,instrument_key
CUPID,NSE_EQ|INE509F01029
DEEPINDS,NSE_EQ|INE0FHS01024
GVPIL,NSE_EQ|INE878A01011
KABRAEXTRU,NSE_EQ|INE900B01029
TCC,NSE_EQ|INE887D01024
