timestamp,open,high,low,close,volume,oi
2026-05-22 09:15:00+05:30,367.8,370.75,361.85,361.85,89,0
2026-05-22 09:30:00+05:30,361.95,370.8,361.4,361.4,329,0
2026-05-22 09:45:00+05:30,361.4,373.0,361.4,369.05,1814,0
2026-05-22 10:00:00+05:30,363.55,365.0,363.55,365.0,5,0
2026-05-22 10:15:00+05:30,365.0,378.05,361.05,372.85,2333,0
2026-05-22 10:30:00+05:30,371.95,401.45,369.9,395.0,9457,0
2026-05-22 10:45:00+05:30,395.0,397.2,386.55,390.55,860,0
2026-05-22 11:00:00+05:30,391.5,398.75,390.05,391.9,486,0
2026-05-22 11:15:00+05:30,392.0,392.1,390.0,390.0,2717,0
2026-05-22 11:30:00+05:30,390.0,393.95,388.35,393.8,531,0
2026-05-22 11:45:00+05:30,389.95,399.0,388.7,390.2,1233,0
2026-05-22 12:00:00+05:30,390.6,400.0,383.0,389.0,8485,0
2026-05-22 12:15:00+05:30,389.85,390.0,385.25,390.0,5096,0
2026-05-22 12:30:00+05:30,390.0,390.0,386.3,390.0,481,0
2026-05-22 12:45:00+05:30,386.15,389.7,385.15,389.7,267,0
2026-05-22 13:00:00+05:30,389.7,390.0,380.35,385.3,866,0
2026-05-22 13:15:00+05:30,387.95,387.95,375.0,383.0,1338,0
2026-05-22 13:30:00+05:30,383.0,384.85,382.1,382.8,15,0
2026-05-22 13:45:00+05:30,382.8,385.65,380.1,385.05,106,0
2026-05-22 14:00:00+05:30,385.05,385.05,380.2,385.0,433,0
2026-05-22 14:15:00+05:30,383.45,384.85,380.25,382.2,297,0
2026-05-22 14:30:00+05:30,380.95,383.05,380.3,383.05,155,0
2026-05-22 14:45:00+05:30,383.75,390.0,382.7,387.95,4462,0
2026-05-22 15:00:00+05:30,387.95,390.0,387.95,390.0,51,0
2026-05-22 15:15:00+05:30,390.0,392.0,389.0,389.0,2936,0
2026-05-25 09:15:00+05:30,409.0,418.25,392.45,399.75,13563,0
2026-05-25 09:30:00+05:30,399.75,399.75,394.15,395.0,3653,0
2026-05-25 09:45:00+05:30,393.45,396.0,389.9,389.9,4583,0
2026-05-25 10:00:00+05:30,390.0,390.0,369.6,372.0,16004,0
2026-05-25 10:15:00+05:30,372.0,376.4,370.6,373.55,400,0
2026-05-25 10:30:00+05:30,374.45,379.9,374.45,375.3,1276,0
2026-05-25 10:45:00+05:30,375.9,375.9,371.9,372.05,662,0
2026-05-25 11:00:00+05:30,374.0,377.45,372.45,375.45,807,0
2026-05-25 11:15:00+05:30,376.15,376.85,373.2,373.7,270,0
2026-05-25 11:30:00+05:30,373.7,375.9,373.7,375.9,119,0
2026-05-25 11:45:00+05:30,375.85,375.85,373.15,374.0,83,0
2026-05-25 12:00:00+05:30,374.0,376.85,373.15,373.6,612,0
2026-05-25 12:15:00+05:30,373.25,378.9,373.2,374.0,673,0
2026-05-25 12:30:00+05:30,374.0,380.0,370.8,378.95,1456,0
2026-05-25 12:45:00+05:30,378.2,381.2,377.45,380.0,489,0
2026-05-25 13:00:00+05:30,380.0,391.0,380.0,390.0,11968,0
2026-05-25 13:15:00+05:30,390.0,391.0,390.0,390.0,2484,0
2026-05-25 13:30:00+05:30,390.25,391.0,390.0,391.0,339,0
2026-05-25 13:45:00+05:30,391.0,391.0,390.0,390.05,131,0
2026-05-25 14:00:00+05:30,390.05,391.65,390.0,390.25,158,0
2026-05-25 14:15:00+05:30,390.25,390.35,390.0,390.3,186,0
2026-05-25 14:30:00+05:30,390.3,390.35,388.4,390.0,5419,0
2026-05-25 14:45:00+05:30,390.0,391.6,390.0,391.6,781,0
2026-05-25 15:00:00+05:30,391.6,391.6,387.9,390.0,11289,0
2026-05-25 15:15:00+05:30,389.9,390.0,380.0,390.0,7033,0
2026-05-26 09:15:00+05:30,390.0,396.5,387.1,390.15,803,0
2026-05-26 09:30:00+05:30,391.95,398.95,386.15,386.15,451,0
2026-05-26 09:45:00+05:30,386.15,390.0,386.15,390.0,100,0
2026-05-26 10:00:00+05:30,390.0,390.0,385.05,385.55,262,0
2026-05-26 10:15:00+05:30,385.2,385.2,378.0,383.25,3677,0
2026-05-26 10:30:00+05:30,383.25,383.25,380.0,380.2,640,0
2026-05-26 10:45:00+05:30,380.2,382.9,380.2,380.8,250,0
2026-05-26 11:00:00+05:30,380.8,384.95,380.8,384.95,219,0
2026-05-26 11:15:00+05:30,384.95,385.0,384.5,384.5,1900,0
2026-05-26 11:30:00+05:30,384.5,384.55,384.5,384.55,91,0
2026-05-26 11:45:00+05:30,384.55,385.0,384.55,385.0,37,0
2026-05-26 12:00:00+05:30,386.45,386.5,386.45,386.5,29,0
2026-05-26 12:15:00+05:30,386.5,386.5,386.5,386.5,0,0
2026-05-26 12:30:00+05:30,386.5,386.5,386.35,386.35,4,0
2026-05-26 12:45:00+05:30,386.35,386.35,386.15,386.15,3,0
2026-05-26 13:00:00+05:30,386.15,386.15,384.7,385.8,49,0
2026-05-26 13:15:00+05:30,385.8,385.8,382.95,382.95,1559,0
2026-05-26 13:30:00+05:30,380.75,381.1,378.0,379.5,1114,0
2026-05-26 13:45:00+05:30,379.3,380.15,375.95,379.75,1095,0
2026-05-26 14:00:00+05:30,379.75,379.75,378.1,378.1,4,0
2026-05-26 14:15:00+05:30,378.1,378.1,376.45,377.45,21,0
2026-05-26 14:30:00+05:30,377.45,378.45,377.45,378.45,6,0
2026-05-26 14:45:00+05:30,378.45,379.0,377.0,377.0,92,0
2026-05-26 15:00:00+05:30,377.0,378.85,375.0,376.9,1835,0
2026-05-26 15:15:00+05:30,376.9,379.0,375.0,379.0,732,0
2026-05-27 09:15:00+05:30,380.0,380.0,375.0,376.5,11743,0
2026-05-27 09:30:00+05:30,376.5,376.5,375.05,375.9,92,0
2026-05-27 09:45:00+05:30,375.9,378.6,375.75,378.6,162,0
2026-05-27 10:00:00+05:30,378.6,386.2,378.6,382.3,2660,0
2026-05-27 10:15:00+05:30,382.3,387.6,382.3,385.45,779,0
2026-05-27 10:30:00+05:30,385.45,388.3,385.05,388.3,104,0
2026-05-27 10:45:00+05:30,388.3,388.65,388.3,388.5,253,0
2026-05-27 11:00:00+05:30,388.5,390.9,388.5,390.1,1441,0
2026-05-27 11:15:00+05:30,390.8,396.9,387.4,387.4,3170,0
2026-05-27 11:30:00+05:30,386.3,386.3,383.35,384.2,1271,0
2026-05-27 11:45:00+05:30,384.2,384.8,381.75,381.75,342,0
2026-05-27 12:00:00+05:30,381.75,384.7,381.75,384.7,137,0
2026-05-27 12:15:00+05:30,384.6,384.6,383.75,383.75,78,0
2026-05-27 12:30:00+05:30,383.75,383.75,383.2,383.2,44,0
2026-05-27 12:45:00+05:30,383.2,385.25,383.2,385.15,163,0
2026-05-27 13:00:00+05:30,385.15,385.4,381.8,384.8,864,0
2026-05-27 13:15:00+05:30,384.4,385.4,384.3,385.0,457,0
2026-05-27 13:30:00+05:30,385.0,385.0,378.85,383.2,2415,0
2026-05-27 13:45:00+05:30,383.2,383.2,381.85,382.6,933,0
2026-05-27 14:00:00+05:30,382.6,382.6,378.6,380.75,693,0
2026-05-27 14:15:00+05:30,380.75,381.0,377.85,379.35,1977,0
2026-05-27 14:30:00+05:30,379.4,380.95,379.2,379.25,1298,0
2026-05-27 14:45:00+05:30,379.25,379.3,379.25,379.3,1,0
2026-05-27 15:00:00+05:30,379.3,380.0,378.7,379.0,1019,0
2026-05-27 15:15:00+05:30,378.45,388.0,378.0,378.0,210,0
2026-05-29 09:15:00+05:30,390.0,390.0,380.0,380.0,385,0
2026-05-29 09:30:00+05:30,380.0,384.95,380.0,384.95,133,0
2026-05-29 09:45:00+05:30,384.95,385.0,380.65,380.65,1130,0
2026-05-29 10:00:00+05:30,380.65,380.65,380.35,380.35,1,0
2026-05-29 10:15:00+05:30,380.35,382.25,380.35,382.05,16,0
2026-05-29 10:30:00+05:30,382.05,382.05,382.05,382.05,0,0
2026-05-29 10:45:00+05:30,382.05,382.05,382.05,382.05,0,0
2026-05-29 11:00:00+05:30,382.05,382.05,378.0,378.0,727,0
2026-05-29 11:15:00+05:30,377.9,378.0,377.9,378.0,50,0
2026-05-29 11:30:00+05:30,378.0,378.0,377.9,377.9,16,0
2026-05-29 11:45:00+05:30,377.9,377.95,376.7,376.7,182,0
2026-05-29 12:00:00+05:30,376.7,376.7,376.7,376.7,0,0
2026-05-29 12:15:00+05:30,376.7,378.0,374.2,374.3,902,0
2026-05-29 12:30:00+05:30,374.3,376.4,374.3,376.25,66,0
2026-05-29 12:45:00+05:30,376.25,377.95,376.25,377.95,15,0
2026-05-29 13:00:00+05:30,377.95,377.95,377.95,377.95,0,0
2026-05-29 13:15:00+05:30,377.95,377.95,373.5,373.8,2484,0
2026-05-29 13:30:00+05:30,373.8,374.9,373.8,374.9,40,0
2026-05-29 13:45:00+05:30,374.9,375.0,374.75,375.0,59,0
2026-05-29 14:00:00+05:30,375.0,375.0,375.0,375.0,0,0
2026-05-29 14:15:00+05:30,373.8,374.85,373.75,374.85,147,0
2026-05-29 14:30:00+05:30,374.7,375.65,374.7,375.0,450,0
2026-05-29 14:45:00+05:30,374.8,375.0,374.8,375.0,90,0
2026-05-29 15:00:00+05:30,375.0,375.0,369.85,370.0,1156,0
2026-05-29 15:15:00+05:30,370.0,370.1,369.05,370.0,2020,0
2026-06-01 09:15:00+05:30,369.2,380.6,368.95,379.9,396,0
2026-06-01 09:30:00+05:30,379.9,383.3,379.8,383.3,1514,0
2026-06-01 09:45:00+05:30,383.3,384.0,381.7,383.3,760,0
2026-06-01 10:00:00+05:30,383.3,383.3,379.45,379.55,1259,0
2026-06-01 10:15:00+05:30,379.55,379.55,377.45,377.45,29,0
2026-06-01 10:30:00+05:30,377.45,377.45,377.45,377.45,0,0
2026-06-01 10:45:00+05:30,377.45,387.4,377.45,387.4,1082,0
2026-06-01 11:00:00+05:30,387.4,387.4,384.1,385.0,145,0
2026-06-01 11:15:00+05:30,385.0,385.4,385.0,385.4,1,0
2026-06-01 11:30:00+05:30,385.4,385.4,385.4,385.4,0,0
2026-06-01 11:45:00+05:30,385.4,385.4,385.35,385.4,392,0
2026-06-01 12:00:00+05:30,385.4,385.4,385.2,385.2,10,0
2026-06-01 12:15:00+05:30,385.2,385.2,385.0,385.0,1,0
2026-06-01 12:30:00+05:30,385.0,385.0,384.9,385.0,9,0
2026-06-01 12:45:00+05:30,385.0,385.0,379.4,379.9,801,0
2026-06-01 13:00:00+05:30,379.9,379.9,376.8,376.8,1,0
2026-06-01 13:15:00+05:30,376.8,377.15,376.8,377.15,15,0
2026-06-01 13:30:00+05:30,377.15,380.0,377.15,379.0,206,0
2026-06-01 13:45:00+05:30,379.0,380.0,379.0,379.95,110,0
2026-06-01 14:00:00+05:30,379.95,379.95,379.95,379.95,0,0
2026-06-01 14:15:00+05:30,379.95,379.95,379.9,379.95,288,0
2026-06-01 14:30:00+05:30,379.95,379.95,379.5,379.5,53,0
2026-06-01 14:45:00+05:30,379.5,380.0,379.5,380.0,664,0
2026-06-01 15:00:00+05:30,380.0,380.0,377.3,380.0,12495,0
2026-06-01 15:15:00+05:30,380.0,380.0,377.3,380.0,716,0
2026-06-02 09:30:00+05:30,379.85,379.85,374.0,374.0,113,0
2026-06-02 09:45:00+05:30,374.0,374.65,374.0,374.65,33,0
2026-06-02 10:00:00+05:30,374.65,376.2,374.65,376.1,19,0
2026-06-02 10:15:00+05:30,376.1,376.1,376.1,376.1,0,0
2026-06-02 10:30:00+05:30,376.1,376.45,372.05,375.75,786,0
2026-06-02 10:45:00+05:30,375.75,375.75,375.5,375.5,3,0
2026-06-02 11:00:00+05:30,375.35,375.35,373.2,373.2,171,0
2026-06-02 11:15:00+05:30,373.2,373.4,373.2,373.2,50,0
2026-06-02 11:30:00+05:30,373.2,374.8,373.2,373.25,149,0
2026-06-02 11:45:00+05:30,373.25,381.9,373.25,376.7,20734,0
2026-06-02 12:00:00+05:30,376.7,379.6,376.7,379.45,32,0
2026-06-02 12:15:00+05:30,379.45,379.9,379.45,379.9,10,0
2026-06-02 12:30:00+05:30,378.5,378.5,377.7,377.7,307,0
2026-06-02 12:45:00+05:30,377.7,379.9,377.7,379.9,200,0
2026-06-02 13:00:00+05:30,379.9,379.9,379.1,379.1,4,0
2026-06-02 13:15:00+05:30,379.1,379.1,379.1,379.1,0,0
2026-06-02 13:30:00+05:30,379.1,379.1,379.1,379.1,0,0
2026-06-02 13:45:00+05:30,379.1,379.1,379.1,379.1,0,0
2026-06-02 14:00:00+05:30,379.1,379.1,377.1,377.25,41,0
2026-06-02 14:15:00+05:30,377.25,377.35,377.25,377.35,13,0
2026-06-02 14:30:00+05:30,377.35,377.35,377.35,377.35,0,0
2026-06-02 14:45:00+05:30,377.35,377.35,376.9,376.9,84,0
2026-06-02 15:00:00+05:30,376.9,377.0,373.1,377.0,301,0
2026-06-02 15:15:00+05:30,377.0,377.35,372.5,377.35,336,0
2026-06-03 09:15:00+05:30,376.15,376.15,375.05,375.05,47,0
2026-06-03 09:30:00+05:30,377.1,377.2,373.05,373.05,118,0
2026-06-03 09:45:00+05:30,373.05,373.05,370.05,370.05,181,0
2026-06-03 10:00:00+05:30,370.1,370.1,370.1,370.1,15,0
2026-06-03 10:15:00+05:30,372.75,373.0,370.0,373.0,1306,0
2026-06-03 10:30:00+05:30,373.0,373.0,373.0,373.0,0,0
2026-06-03 10:45:00+05:30,373.0,373.0,373.0,373.0,0,0
2026-06-03 11:00:00+05:30,372.8,373.0,368.85,369.35,1457,0
2026-06-03 11:15:00+05:30,369.35,369.35,368.0,368.75,60,0
2026-06-03 11:30:00+05:30,368.75,368.75,368.75,368.75,0,0
2026-06-03 11:45:00+05:30,368.75,368.75,366.3,366.3,50,0
2026-06-03 12:00:00+05:30,366.3,366.3,366.3,366.3,0,0
2026-06-03 12:15:00+05:30,366.3,366.4,365.0,365.0,685,0
2026-06-03 12:30:00+05:30,365.0,365.0,363.2,363.2,1,0
2026-06-03 12:45:00+05:30,363.2,367.75,363.2,367.75,1,0
2026-06-03 13:00:00+05:30,367.75,367.95,367.75,367.95,50,0
2026-06-03 13:15:00+05:30,367.95,367.95,367.35,367.95,38,0
2026-06-03 13:30:00+05:30,367.95,367.95,364.05,364.05,115,0
2026-06-03 13:45:00+05:30,364.05,370.0,364.05,370.0,5463,0
2026-06-03 14:00:00+05:30,370.0,370.0,367.55,370.0,4214,0
2026-06-03 14:15:00+05:30,370.0,370.0,368.85,370.0,200,0
2026-06-03 14:30:00+05:30,370.0,370.0,368.0,368.05,92,0
2026-06-03 14:45:00+05:30,368.1,368.15,368.1,368.1,36,0
2026-06-03 15:00:00+05:30,368.1,368.1,367.3,368.0,7,0
2026-06-03 15:15:00+05:30,368.0,370.0,367.95,370.0,716,0
2026-06-04 09:15:00+05:30,370.1,373.0,370.0,370.25,65,0
2026-06-04 09:30:00+05:30,370.25,370.25,370.05,370.05,30,0
2026-06-04 09:45:00+05:30,370.05,370.15,369.9,369.9,344,0
2026-06-04 10:00:00+05:30,369.9,370.0,368.0,369.8,202,0
2026-06-04 10:15:00+05:30,369.8,369.8,369.8,369.8,6,0
2026-06-04 10:30:00+05:30,369.8,369.8,369.8,369.8,0,0
2026-06-04 10:45:00+05:30,369.8,369.8,368.0,368.0,166,0
2026-06-04 11:00:00+05:30,367.75,367.75,365.1,365.1,112,0
2026-06-04 11:15:00+05:30,365.1,365.1,365.1,365.1,0,0
2026-06-04 11:30:00+05:30,365.1,365.95,364.75,365.95,108,0
2026-06-04 11:45:00+05:30,365.95,365.95,365.95,365.95,0,0
2026-06-04 12:00:00+05:30,365.95,365.95,365.95,365.95,0,0
2026-06-04 12:15:00+05:30,365.95,365.95,365.95,365.95,0,0
2026-06-04 12:30:00+05:30,365.95,366.25,365.8,366.25,107,0
2026-06-04 12:45:00+05:30,366.25,366.25,366.1,366.25,20,0
2026-06-04 13:00:00+05:30,366.25,368.0,366.25,368.0,200,0
2026-06-04 13:15:00+05:30,368.0,368.0,364.1,367.7,254,0
